longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.23,37.88,41.0,3.0,1.0,322.0,126.0,8.3252,905200.0,NEAR BAY
-122.22,37.86,21.0,10.0,6.0,2401.0,1138.0,8.3014,717000.0,NEAR BAY
-122.24,37.85,52.0,3.0,2.0,496.0,177.0,7.2574,704200.0,NEAR BAY
-122.25,37.85,52.0,4.0,2.0,558.0,219.0,5.6431,682600.0,NEAR BAY
-122.25,37.85,52.0,5.0,3.0,565.0,259.0,3.8462,684400.0,NEAR BAY
-122.25,37.85,52.0,3.0,2.0,413.0,193.0,4.0368,539400.0,NEAR BAY
-122.25,37.84,52.0,4.0,2.0,1094.0,514.0,3.6591,598400.0,NEAR BAY
-122.25,37.84,52.0,7.0,4.0,1157.0,647.0,3.12,482800.0,NEAR BAY
-122.26,37.84,42.0,5.0,3.0,1206.0,595.0,2.0804,453400.0,NEAR BAY
-122.25,37.84,52.0,7.0,3.0,1551.0,714.0,3.6912,522200.0,NEAR BAY
-122.26,37.85,52.0,4.0,3.0,910.0,402.0,3.2031,563000.0,NEAR BAY
-122.26,37.85,52.0,6.0,3.0,1504.0,734.0,3.2705,483600.0,NEAR BAY
-122.26,37.85,52.0,4.0,3.0,1098.0,468.0,3.075,427000.0,NEAR BAY
-122.26,37.84,52.0,2.0,2.0,345.0,174.0,2.6736,382600.0,NEAR BAY
-122.26,37.85,52.0,5.0,3.0,1212.0,620.0,1.9167,318400.0,NEAR BAY
-122.26,37.85,50.0,3.0,3.0,697.0,264.0,2.125,280000.0,NEAR BAY
-122.27,37.85,52.0,4.0,3.0,793.0,331.0,2.775,305000.0,NEAR BAY
-122.27,37.85,52.0,4.0,3.0,648.0,303.0,2.1202,311000.0,NEAR BAY
-122.26,37.84,50.0,5.0,2.0,990.0,419.0,1.9911,317400.0,NEAR BAY
-122.27,37.84,52.0,4.0,3.0,690.0,275.0,2.6033,325800.0,NEAR BAY
-122.27,37.85,40.0,2.0,2.0,409.0,166.0,1.3578,295000.0,NEAR BAY
-122.27,37.85,42.0,5.0,2.0,929.0,366.0,1.7135,319600.0,NEAR BAY
-122.27,37.84,52.0,5.0,2.0,1015.0,478.0,1.725,227800.0,NEAR BAY
-122.27,37.84,52.0,4.0,2.0,853.0,325.0,2.1806,199400.0,NEAR BAY
-122.27,37.84,52.0,4.0,2.0,1006.0,422.0,2.6,265200.0,NEAR BAY
-122.28,37.85,41.0,2.0,1.0,317.0,119.0,2.4038,215000.0,NEAR BAY
-122.28,37.85,49.0,4.0,2.0,607.0,239.0,2.4597,187600.0,NEAR BAY
-122.28,37.85,52.0,3.0,3.0,1102.0,397.0,1.808,211000.0,NEAR BAY
-122.28,37.84,50.0,4.0,2.0,1131.0,473.0,1.6424,217800.0,NEAR BAY
-122.28,37.84,52.0,3.0,1.0,395.0,155.0,1.6875,264000.0,NEAR BAY
-122.28,37.84,49.0,3.0,3.0,863.0,378.0,1.9274,244600.0,NEAR BAY
-122.28,37.84,52.0,4.0,2.0,1168.0,441.0,1.9615,230400.0,NEAR BAY
-122.27,37.84,48.0,3.0,2.0,1026.0,335.0,1.7969,220800.0,NEAR BAY
-122.27,37.83,49.0,5.0,3.0,754.0,329.0,1.375,209800.0,NEAR BAY
-122.27,37.83,51.0,5.0,2.0,1258.0,536.0,2.7303,219400.0,NEAR BAY
-122.27,37.83,49.0,4.0,3.0,570.0,264.0,1.4861,194400.0,NEAR BAY
-122.27,37.83,48.0,5.0,2.0,987.0,374.0,1.0972,209000.0,NEAR BAY
-122.28,37.83,52.0,3.0,3.0,901.0,403.0,1.4103,207800.0,NEAR BAY
-122.26,37.83,52.0,4.0,2.0,689.0,309.0,3.48,382800.0,NEAR BAY
-122.26,37.83,52.0,7.0,4.0,1377.0,696.0,2.5898,352000.0,NEAR BAY
-122.26,37.83,52.0,4.0,2.0,946.0,395.0,2.0978,310800.0,NEAR BAY
-122.26,37.83,51.0,5.0,2.0,517.0,249.0,1.2852,300000.0,NEAR BAY
-122.26,37.84,49.0,2.0,1.0,462.0,189.0,1.025,237600.0,NEAR BAY
-122.26,37.84,52.0,3.0,1.0,467.0,198.0,3.9643,377600.0,NEAR BAY
-122.26,37.83,52.0,4.0,2.0,660.0,292.0,3.0125,368800.0,NEAR BAY
-122.26,37.83,52.0,5.0,2.0,718.0,382.0,2.6768,364600.0,NEAR BAY
-122.26,37.83,50.0,5.0,2.0,616.0,304.0,2.026,285000.0,NEAR BAY
-122.27,37.82,43.0,4.0,3.0,558.0,253.0,1.7348,275000.0,NEAR BAY
-122.26,37.82,40.0,3.0,1.0,423.0,160.0,0.9506,375000.0,NEAR BAY
-122.27,37.82,40.0,3.0,3.0,700.0,352.0,1.775,225000.0,NEAR BAY
-122.27,37.82,21.0,3.0,3.0,735.0,438.0,0.9218,343800.0,NEAR BAY
-122.27,37.82,43.0,5.0,2.0,1061.0,407.0,1.5045,187600.0,NEAR BAY
-122.27,37.82,41.0,5.0,3.0,1959.0,720.0,1.1108,195000.0,NEAR BAY
-122.27,37.82,52.0,4.0,3.0,1162.0,400.0,1.2475,208400.0,NEAR BAY
-122.28,37.82,52.0,4.0,3.0,701.0,233.0,1.6098,175000.0,NEAR BAY
-122.28,37.82,52.0,5.0,3.0,576.0,220.0,1.4113,166200.0,NEAR BAY
-122.28,37.82,52.0,3.0,2.0,622.0,259.0,1.5057,175000.0,NEAR BAY
-122.28,37.82,52.0,4.0,2.0,728.0,244.0,0.8172,170600.0,NEAR BAY
-122.28,37.82,52.0,4.0,3.0,1074.0,304.0,1.2171,160600.0,NEAR BAY
-122.29,37.82,2.0,2.0,2.0,94.0,57.0,2.5625,120000.0,NEAR BAY
-122.29,37.83,52.0,3.0,2.0,554.0,187.0,3.3929,151400.0,NEAR BAY
-122.29,37.82,49.0,3.0,1.0,86.0,23.0,6.1183,150000.0,NEAR BAY
-122.29,37.81,50.0,2.0,2.0,377.0,122.0,0.9011,172200.0,NEAR BAY
-122.3,37.81,52.0,2.0,2.0,521.0,159.0,1.191,152200.0,NEAR BAY
-122.3,37.81,48.0,2.0,2.0,392.0,133.0,2.5938,147000.0,NEAR BAY
-122.3,37.81,52.0,2.0,1.0,604.0,187.0,1.1667,156800.0,NEAR BAY
-122.3,37.81,48.0,5.0,2.0,788.0,332.0,0.8056,168800.0,NEAR BAY
-122.29,37.8,52.0,3.0,2.0,492.0,147.0,2.6094,162600.0,NEAR BAY
-122.3,37.81,52.0,2.0,1.0,274.0,82.0,1.8516,170000.0,NEAR BAY
-122.29,37.81,46.0,6.0,3.0,1823.0,611.0,0.9802,258400.0,NEAR BAY
-122.29,37.81,26.0,3.0,1.0,392.0,127.0,1.7719,165000.0,NEAR BAY
-122.29,37.81,46.0,4.0,2.0,582.0,277.0,0.7286,190400.0,NEAR BAY
-122.29,37.81,49.0,2.0,2.0,560.0,152.0,1.75,150000.0,NEAR BAY
-122.29,37.81,46.0,2.0,2.0,18.0,7.0,0.4999,135000.0,NEAR BAY
-122.29,37.81,20.0,3.0,1.0,290.0,133.0,2.483,275000.0,NEAR BAY
-122.28,37.81,17.0,5.0,3.0,762.0,439.0,0.9241,355000.0,NEAR BAY
-122.28,37.81,36.0,4.0,2.0,1236.0,509.0,2.4464,204200.0,NEAR BAY
-122.28,37.81,19.0,5.0,2.0,721.0,207.0,1.1111,216600.0,NEAR BAY
-122.29,37.81,23.0,4.0,3.0,1054.0,325.0,0.8026,225000.0,NEAR BAY
-122.28,37.8,38.0,3.0,1.0,344.0,155.0,2.0114,262600.0,NEAR BAY
-122.28,37.81,17.0,4.0,3.0,609.0,289.0,1.5,325000.0,NEAR BAY
-122.27,37.81,52.0,2.0,1.0,183.0,56.0,1.1667,225000.0,NEAR BAY
-122.28,37.81,52.0,3.0,1.0,200.0,87.0,1.5208,225000.0,NEAR BAY
-122.28,37.81,52.0,2.0,1.0,346.0,155.0,0.8075,275000.0,NEAR BAY
-122.28,37.81,35.0,2.0,1.0,467.0,169.0,1.8088,237600.0,NEAR BAY
-122.28,37.81,52.0,2.0,2.0,377.0,115.0,2.4083,196400.0,NEAR BAY
-122.27,37.81,40.0,4.0,3.0,582.0,380.0,0.977,237600.0,NEAR BAY
-122.27,37.81,10.0,3.0,3.0,546.0,330.0,0.76,325000.0,NEAR BAY
-122.27,37.8,10.0,2.0,1.0,125.0,39.0,0.9722,275000.0,NEAR BAY
-122.27,37.8,52.0,3.0,2.0,396.0,85.0,1.2434,2000002.0,NEAR BAY
-122.27,37.8,16.0,3.0,2.0,800.0,362.0,2.0938,325000.0,NEAR BAY
-122.28,37.8,52.0,2.0,1.0,904.0,88.0,0.8668,275000.0,NEAR BAY
-122.28,37.8,52.0,2.0,2.0,191.0,34.0,0.75,325000.0,NEAR BAY
-122.27,37.79,27.0,5.0,2.0,718.0,302.0,2.6354,375000.0,NEAR BAY
-122.27,37.8,39.0,3.0,2.0,1327.0,467.0,1.8477,358400.0,NEAR BAY
-122.26,37.8,36.0,10.0,5.0,3469.0,2323.0,2.0096,260000.0,NEAR BAY
-122.26,37.82,31.0,9.0,4.0,2048.0,1180.0,2.8345,367600.0,NEAR BAY
-122.26,37.81,29.0,3.0,1.0,202.0,91.0,2.0062,250000.0,NEAR BAY
-122.26,37.82,22.0,9.0,4.0,2024.0,1250.0,1.2185,340000.0,NEAR BAY
-122.26,37.82,37.0,5.0,4.0,1838.0,980.0,2.6104,386200.0,NEAR BAY
-122.25,37.81,29.0,7.0,6.0,2304.0,1250.0,2.4912,515600.0,NEAR BAY
-122.25,37.81,28.0,9.0,4.0,2563.0,1497.0,3.2177,546800.0,NEAR BAY
-122.25,37.81,39.0,4.0,3.0,389.0,228.0,3.125,475000.0,NEAR BAY
-122.25,37.81,52.0,6.0,4.0,895.0,613.0,2.5795,700000.0,NEAR BAY
-122.26,37.81,34.0,9.0,4.0,2689.0,1789.0,2.8406,671400.0,NEAR BAY
-122.24,37.82,52.0,3.0,3.0,674.0,244.0,4.9306,626800.0,NEAR BAY
-122.24,37.81,52.0,5.0,3.0,709.0,456.0,3.2727,537000.0,NEAR BAY
-122.25,37.81,52.0,3.0,3.0,686.0,422.0,3.1691,518800.0,NEAR BAY
-122.24,37.82,52.0,7.0,4.0,1444.0,718.0,3.9,551400.0,NEAR BAY
-122.25,37.82,28.0,7.0,3.0,1520.0,802.0,3.9063,450000.0,NEAR BAY
-122.25,37.82,52.0,4.0,2.0,550.0,253.0,5.0917,525000.0,NEAR BAY
